Election,County,Rwinner,Rmargin,Rparty,RTotalVotes,Rabsentee,RPctAbsentee,Nwinner,Nparty,Nmargin,NTotalVotes,Nabsentee,NPctAbsentee,RPctVotesWinner,RPctVotesLoser,RNoVotesWinner,RNoVotesLoser,NPctVotesWinner,NPctVotesLoser,NNoVotesWinner,NNoVotesLoser,NoTurnoutChange,TurnoutPctChange,MarginChange,WinnerNoChange,WinnerPctChange
SENATE,Appling,Perdue ,56,R,"7,281","4,524",0.62,Perdue ,R,55.6,"8,187","6,104",0.75,78,22,"5,679","1,602",77.8,22.2,"6,369","1,818",-906,-0.11,0.4,-690,-0.11
SENATE,Atkinson,Perdue ,46,R,"2,645","1,448",0.55,Perdue ,R,48.4,"3,097","2,144",0.69,73,27,"1,931",714,74.2,25.8,"2,298",799,-452,-0.15,-2.4,-367,-0.16
SENATE,Bacon,Perdue ,73,R,"4,128","3,134",0.76,Perdue ,R,72.7,"4,590","4,021",0.88,86.5,13.5,"3,571",557,86.35,13.65,"3,963",627,-462,-0.1,0.3,-392,-0.10
SENATE,Baker,Perdue ,12,R,"1,439",899,0.62,Perdue ,R,14.7,"1,534","1,094",0.71,56,44,806,633,57.35,42.65,880,654,-95,-0.06,-2.7,-74,-0.08
SENATE,Baldwin,Ossoff ,4,D,"16,446","12,175",0.74,Perdue ,R,0.5,"18,082","14,622",0.81,52,48,"8,552","7,894",50.25,49.75,"9,086","8,996","-1,636",-0.09,3.5,-534,-0.06
SENATE,Banks,Perdue ,78,R,"7,448","4,980",0.67,Perdue ,R,77.2,"8,725","6,908",0.79,89,11,"6,629",819,88.6,11.4,"7,730",995,"-1,277",-0.15,0.8,-1101,-0.14
SENATE,Barrow,Perdue ,42,R,"32,065","21,588",0.67,Perdue ,R,43.2,"37,627","29,762",0.79,71,29,"22,766","9,299",71.6,28.4,"26,941","10,686","-5,562",-0.15,-1.2,-4175,-0.15
SENATE,Bartow,Perdue ,50,R,"42,974","26,940",0.63,Perdue ,R,50.7,"50,034","37,419",0.75,75,25,"32,231","10,744",75.35,24.65,"37,701","12,333","-7,060",-0.14,-0.7,-5470,-0.15
SENATE,Ben Hill,Perdue ,24,R,"5,713","4,376",0.77,Perdue ,R,27.7,"6,477","5,686",0.88,62,38,"3,542","2,171",63.85,36.15,"4,136","2,341",-764,-0.12,-3.7,-594,-0.14
SENATE,Berrien,Perdue ,66,R,"6,679","3,935",0.59,Perdue ,R,66.4,"7,650","5,471",0.72,83,17,"5,544","1,135",83.2,16.8,"6,365","1,285",-971,-0.13,-0.4,-821,-0.13
SENATE,Bibb,Ossoff ,25,D,"63,465","42,118",0.66,Ossoff ,D,21.8,"69,987","52,909",0.76,62.5,37.5,"39,666","23,799",60.9,39.1,"42,622","27,365","-6,522",-0.09,3.2,-2956,-0.07
SENATE,Bleckley,Perdue ,53,R,"5,110","3,457",0.68,Perdue ,R,53.7,"5,644","4,386",0.78,76.5,23.5,"3,909","1,201",76.85,23.15,"4,337","1,307",-534,-0.09,-0.7,-428,-0.10
SENATE,Brantley,Perdue ,81,R,"6,618","3,885",0.59,Perdue ,R,80.4,"7,616","5,475",0.72,90.5,9.5,"5,989",629,90.2,9.8,"6,870",746,-998,-0.13,0.6,-881,-0.13
SENATE,Brooks,Perdue ,21,R,"6,216","3,902",0.63,Perdue ,R,23.6,"6,976","5,024",0.72,60.5,39.5,"3,761","2,455",61.8,38.2,"4,311","2,665",-760,-0.11,-2.6,-550,-0.13
SENATE,Bryan,Perdue ,35,R,"18,616","13,554",0.73,Perdue ,R,35.8,"21,163","17,639",0.83,67.5,32.5,"12,566","6,050",67.9,32.1,"14,370","6,793","-2,547",-0.12,-0.8,-1804,-0.13
SENATE,Bulloch,Perdue ,25,R,"26,143","15,419",0.59,Perdue ,R,24.8,"29,793","20,488",0.69,62.5,37.5,"16,339","9,804",62.4,37.6,"18,591","11,202","-3,650",-0.12,0.2,-2252,-0.12
SENATE,Burke,Perdue ,1.3,R,"9,492","5,622",0.59,Perdue ,R,4,"10,560","7,115",0.67,50.65,49.35,"4,808","4,684",52,48,"5,491","5,069","-1,068",-0.1,-2.7,-683,-0.12
SENATE,Butts,Perdue ,41,R,"10,209","7,722",0.76,Perdue ,R,44.5,"11,690","10,446",0.89,70.5,29.5,"7,197","3,012",72.25,27.75,"8,446","3,244","-1,481",-0.13,-3.5,-1249,-0.15
