ID,County,No20to24,Pct20to24,No25to34,Pct25to34,No35to44,Pct35to44,No45to54,Pct45to54,No55to59,Pct55to59,No60to64,Pct60to64,No65plus,Pct65Plus,NoM65Plus,PctM65Plus,NoF65Plus,PctF65Plus,NoMixedRace,PctMixedRace,NoWhite,PctWhite,NoBlack,PctBlack,NoNative,PctNative,NoAsian,PctAsian,NoPI,PctPI,NoOther,PctOther,NoVotingAge,PctVotingAge,MVotingAge,PctMVA,FVotingAge,PctFVA
0500000US13013,Barrow,4485,5.4,12111,14.5,12425,14.9,10990,13.2,5394,6.5,3988,4.8,10378,12.5,4368,42.1,6010,57.9,2926,3.5,64541,77.5,10094,12.1,143,0.2,3227,3.9,0,0,2309,2.8,59762,59762,28552,47.8,31210,52.2
0500000US13015,Bartow,7290,6.8,13990,13,13537,12.6,14705,13.6,7025,6.5,6608,6.1,16211,15,7036,43.4,9175,56.6,3130,2.9,90062,83.6,11529,10.7,21,0,571,0.5,0,0,2425,2.3,78388,78388,37184,47.4,41204,52.6
0500000US13021,Bibb,8650,5.6,21039,13.7,17841,11.6,17853,11.7,9859,6.4,9339,6.1,24486,16,9904,40.4,14582,59.6,4111,2.7,60153,39.3,83244,54.4,0,0,3412,2.2,130,0.1,2109,1.4,113115,113115,51251,45.3,61864,54.7
0500000US13031,Bulloch,13157,16.5,11379,14.3,7938,10,7824,9.8,4135,5.2,3739,4.7,9055,11.4,4079,45,4976,55,2964,3.7,51797,65.1,22620,28.4,217,0.3,965,1.2,0,0,1045,1.3,62609,62609,30747,49.1,31862,50.9
0500000US13045,Carroll,9611,8,16176,13.5,17267,14.4,13980,11.7,8173,6.8,5266,4.4,16615,13.8,7392,44.5,9223,55.5,1044,0.9,88404,73.7,24670,20.6,581,0.5,1254,1,0,0,4039,3.4,87945,87945,41572,47.3,46373,52.7
0500000US13047,Catoosa,3765,5.6,8421,12.5,8046,11.9,9432,14,4567,6.8,4322,6.4,11894,17.6,5136,43.2,6758,56.8,N,N,N,N,N,N,N,N,N,N,N,N,N,N,51810,51810,24331,47,27479,53
0500000US13051,Chatham,22346,7.7,47343,16.4,35838,12.4,32586,11.3,18862,6.5,15947,5.5,46580,16.1,19901,42.7,26679,57.3,5215,1.8,149040,51.5,118414,40.9,993,0.3,7984,2.8,66,0,7718,2.7,220481,220481,103608,47,116873,53
0500000US13057,Cherokee,14128,5.5,32323,12.5,36436,14.1,37373,14.4,15065,5.8,16933,6.5,38347,14.8,16718,43.6,21629,56.4,5741,2.2,220530,85.2,19696,7.6,2545,1,4634,1.8,0,0,5627,2.2,183825,183825,86471,47,97354,53
0500000US13059,Clarke,20562,16,19852,15.5,12251,9.5,13528,10.5,7477,5.8,4187,3.3,14479,11.3,5855,40.4,8624,59.6,4115,3.2,80775,62.9,36161,28.2,28,0,5434,4.2,0,0,1818,1.4,99653,99653,45794,46,53859,54
0500000US13063,Clayton,21389,7.3,44728,15.3,39843,13.6,36168,12.4,17475,6,15415,5.3,28059,9.6,11967,42.6,16092,57.4,11108,3.8,49935,17.1,203719,69.7,103,0,14986,5.1,1237,0.4,11168,3.8,192381,192381,85074,44.2,107307,55.8
0500000US13067,Cobb,47816,6.3,112173,14.8,106681,14,106403,14,51242,6.7,43027,5.7,96417,12.7,42150,43.7,54267,56.3,22470,3,427108,56.2,213192,28,3323,0.4,41478,5.5,192,0,52378,6.9,523625,523625,249254,47.6,274371,52.4
0500000US13073,Columbia,8730,5.6,20936,13.4,22083,14.1,19628,12.5,9429,6,9475,6,22070,14.1,9951,45.1,12119,54.9,10262,6.5,114364,73,26183,16.7,0,0,4693,3,0,0,1212,0.8,115224,115224,55375,48.1,59849,51.9
